Date,Currency_Code,Impact,Actual,Previous,Actual_Val,Forecast_Val,Previous_Val
2018-01-05T13:30:00.000Z,USD,high,-1,1,146.0k,193.0k,221.0k
2018-01-05T13:30:00.000Z,USD,high,-1,1,148.0k,190.0k,228.0k
2018-01-05T13:30:00.000Z,USD,med,-1,-1,-50.5B,-49.9B,-48.7B
2018-01-05T13:30:00.000Z,USD,high,0,0,4.1%,4.1%,4.1%
2018-01-05T15:00:00.000Z,USD,low,1,1,1.3%,1.1%,-0.1%
2018-01-05T15:00:00.000Z,USD,high,-1,0,55.9,57.6,57.4
2018-01-05T15:00:00.000Z,CAD,med,0,0,60.4,,63.0
2018-01-05T15:15:00.000Z,USD,,0,0,,,
2018-01-05T17:30:00.000Z,USD,,0,0,,,
2018-01-05T19:30:00.000Z,GBP,,0,0,,,
2018-01-06T13:00:00.000Z,,,0,0,,,
2018-01-06T15:15:00.000Z,USD,,0,0,,,
2018-01-06T15:15:00.000Z,USD,,0,0,,,
2018-01-07T13:00:00.000Z,USD,,0,0,,,
2018-01-07T22:30:00.000Z,AUD,,0,0,52.8,,57.5
2018-01-08,JPY,,0,0,,,
2018-01-08T07:00:00.000Z,EUR,med,-1,1,-0.4%,-0.2%,0.5%
2018-01-08T07:00:00.000Z,EUR,med,1,1,8.7%,7.8%,6.9%
2018-01-08T08:15:00.000Z,CHF,low,0,0,0.2%,,-0.3%
2018-01-08T08:15:00.000Z,CHF,low,1,0,0.0%,-0.1%,-0.1%
2018-01-08T08:15:00.000Z,CHF,med,0,0,1.1%,,0.8%
2018-01-08T08:15:00.000Z,CHF,med,0,0,0.8%,0.8%,0.8%
2018-01-08T08:30:00.000Z,GBP,low,-1,0,2.7%,3.3%,3.9%
2018-01-08T08:30:00.000Z,GBP,low,-1,-1,-0.6%,0.2%,0.5%
2018-01-08T09:30:00.000Z,EUR,med,1,0,32.9,31.2,31.1
2018-01-08T10:00:00.000Z,EUR,med,1,0,1.66,1.5,1.49
2018-01-08T10:00:00.000Z,EUR,med,1,-1,9.1,8.4,8.2
2018-01-08T10:00:00.000Z,EUR,med,1,0,116.0,114.8,114.6
2018-01-08T10:00:00.000Z,EUR,med,0,0,0.5,0.5,0.5
2018-01-08T10:00:00.000Z,EUR,,1,0,1.5%,1.2%,-1.1%
2018-01-08T10:00:00.000Z,EUR,,1,-1,2.8%,2.4%,0.4%
2018-01-08T11:30:00.000Z,,,0,0,,,
2018-01-08T14:00:00.000Z,EUR,,0,0,,,
2018-01-08T17:40:00.000Z,USD,,0,0,,,
2018-01-08T18:35:00.000Z,USD,,0,0,,,
2018-01-08T20:00:00.000Z,USD,low,1,0,27.95B,18.0B,20.52B
